"group","n_trials","n_subj","logLik_habit","df_habit","AIC_habit","logLik_nohabit","df_nohabit","AIC_nohabit","dAIC","starts_ok_habit","starts_ok_nohabit"
"minimal",5487,22,-3289.11552534271,16,6610.23105068542,-3305.02144266984,7,6624.04288533969,13.8118346542733,3,3
"4day",5485,22,-4124.70500453334,16,8281.41000906668,-4258.57396663697,7,8531.14793327394,249.737924207264,3,3
"20day",3495,14,-2572.10371274189,16,5176.20742548378,-2698.92054661034,7,5411.84109322067,235.633667736893,3,3
